1	AAo	0.7		84.93	0.54	0.45	0.45
2	KKo	0.64	82.11	0.55	0.45	0.9
3	QQo	0.59	79.63	0.58	0.45	1.35
4	JJo	0.54	77.15	0.63	0.45	1.8
5	TTo	0.5		74.66	0.7	0.45	2.26
6	99o	0.44	71.66	0.78	0.45	2.71
7	88o	0.38	68.71	0.89	0.45	3.16
8	AKs	0.34	66.21	1.65	0.3	3.46
9	77o	0.32	65.72	1.02	0.45	3.92
10	AQs	0.32	65.31	1.79	0.3	4.22
11	AJs	0.3	64.39	1.99	0.3	4.52
12	AKo	0.3	64.46	1.7	0.9	5.42
13	ATs	0.29	63.48	2.22	0.3	5.73
14	AQo	0.28	63.5	1.84	0.9	6.63
15	AJo	0.27	62.53	2.05	0.9	7.54
16	KQs	0.26	62.4	1.98	0.3	7.84
17	66o	0.26	62.7	1.16	0.45	8.29
18	A9s	0.25	61.5	2.54	0.3	8.59
19	ATo	0.25	61.56	2.3	0.9	9.5
20	KJs	0.25	61.47	2.18	0.3	9.8
21	A8s	0.23	60.5	2.87	0.3	10.1
22	KTs	0.23	60.58	2.4	0.3	10.4
23	KQo	0.22	60.43	2.04	0.9	11.31
24	A7s	0.21	59.38	3.19	0.3	11.61
25	A9o	0.21	59.44	2.64	0.9	12.51
26	KJo	0.21	59.44	2.25	0.9	13.42
27	55o	0.2	59.64	1.36	0.45	13.87
28	QJs	0.2	59.07	2.37	0.3	14.17
29	K9s	0.19	58.63	2.7	0.3	14.47
30	A5s	0.19	58.06	3.71	0.3	14.78
31	A6s	0.19	58.17	3.45	0.3	15.08
32	A8o	0.19	58.37	2.99	0.9	15.98
33	KTo	0.19	58.49	2.48	0.9	16.89
34	QTs	0.18	58.17	2.59	0.3	17.19
35	A4s	0.18	57.13	3.79	0.3	17.49
36	A7o	0.17	57.16	3.34	0.9	18.4
37	K8s	0.16	56.79	3.04	0.3	18.7
38	A3s	0.16	56.33	3.77	0.3	19.0
39	QJo	0.16	56.9	2.45	0.9	19.9
40	K9o	0.15	56.4	2.8	0.9	20.81
